Component ID,Component Name,Parent Component ID,Quantity,Level (Hierarchy Level),Assembly Type,Criticality Level (High/Medium/Low),Supplier ID,Lead Time (Weeks)
COMP0151,Inductor-1931,COMP0221,38,3,Sub-assembly,Medium,SUPP088,51
COMP0093,Sensor-3705,COMP0041,157,2,Module,Medium,SUPP031,32
COMP0468,Inductor-8708,COMP0119,119,3,Raw Part,Medium,SUPP086,1
COMP0461,MOSFET-1653,COMP0462,74,4,PCB Assembly,High,SUPP057,23
COMP0301,LED-4505,COMP0493,109,2,PCB Assembly,Medium,SUPP039,13
COMP0197,LED-3442,COMP0055,61,4,Raw Part,Medium,SUPP038,45
COMP0152,Sensor-2312,ROOT,169,1,Raw Part,High,SUPP088,50
COMP0382,Capacitor-4954,COMP0467,156,4,PCB Assembly,Low,SUPP037,50
COMP0410,LED-9751,COMP0411,91,2,Sub-assembly,High,SUPP033,44
COMP0387,Connector-1282,COMP0338,175,3,PCB Assembly,Medium,SUPP081,42
COMP0021,Capacitor-6881,COMP0226,9,2,Raw Part,Low,SUPP012,19
COMP0168,Connector-2638,COMP0090,52,3,Sub-assembly,Medium,SUPP047,34
COMP0257,Connector-8238,COMP0426,43,4,Sub-assembly,Low,SUPP062,52
COMP0152,Sensor-2312,COMP0174,30,3,Raw Part,High,SUPP097,15
COMP0441,LED-8699,COMP0346,102,3,Cable Assembly,Low,SUPP047,6
COMP0405,MOSFET-5636,COMP0136,138,3,Sub-assembly,Medium,SUPP096,44
COMP0135,Diode-3724,COMP0422,164,3,Module,High,SUPP030,31
COMP0013,IC-4611,COMP0483,144,3,Raw Part,Medium,SUPP083,5
COMP0326,Inductor-1823,COMP0466,180,4,Raw Part,Medium,SUPP018,3
COMP0485,Resistor-9889,ROOT,127,1,Sub-assembly,Medium,SUPP069,9
COMP0199,Microcontroller-3426,COMP0344,191,3,PCB Assembly,Medium,SUPP076,48
COMP0373,Connector-7209,COMP0213,168,2,Sub-assembly,Medium,SUPP053,18
COMP0017,Microcontroller-5552,COMP0112,114,3,Raw Part,Medium,SUPP047,7
COMP0352,Capacitor-5941,COMP0462,166,3,Raw Part,Medium,SUPP025,8
COMP0486,Connector-7770,COMP0233,24,4,PCB Assembly,Medium,SUPP077,2
COMP0026,Sensor-5803,COMP0125,33,4,PCB Assembly,Medium,SUPP098,36
