Supplier ID,Supplier Name,Location,Component ID,Cost per Component ($),Available Quantity,Lead Time (Weeks),Reliability Score (0-1),Past Performance Rating (1-5),Alternate Supplier ID
SUPP046,Lite-On Technology,"Zurich, Switzerland",COMP0406,95.92,137156,5,0.83,4.8,SUPP016
SUPP097,Power Integrations,"Shenzhen, China",COMP0012,512.31,450747,21,0.65,3.3,SUPP035
SUPP009,STMicroelectronics,"Osaka, Japan",COMP0082,638.39,289985,45,0.73,1.2,SUPP043
SUPP068,Mini-Circuits,"Munich, Germany",COMP0027,353.92,184268,18,0.67,4.8,SUPP047
SUPP007,Panasonic Electronic Components,"Milan, Italy",COMP0354,119.21,150285,10,0.92,1.1,SUPP080
SUPP020,JST,"Munich, Germany",COMP0330,293.96,483140,14,0.53,4.6,SUPP002
SUPP035,Coilcraft,"Stockholm, Sweden",COMP0154,598.88,192188,15,0.87,3.0,SUPP071
SUPP050,Amphenol Advanced Sensors,"Tokyo, Japan",COMP0128,75.43,36808,12,0.88,2.3,SUPP066
SUPP063,International Rectifier,"Gyeonggi, South Korea",COMP0029,415.25,199486,40,0.75,2.8,SUPP026
SUPP050,Amphenol Advanced Sensors,"Tokyo, Japan",COMP0080,266.34,210392,39,0.87,1.2,SUPP091
SUPP035,Coilcraft,"Stockholm, Sweden",COMP0331,714.08,67495,3,0.96,1.7,SUPP049
SUPP031,Rubycon,"Zurich, Switzerland",COMP0005,257.78,333243,20,0.69,3.7,SUPP095
SUPP015,Analog Devices,"Munich, Germany",COMP0068,345.0,254073,1,0.52,4.7,SUPP078
SUPP055,Cinch Connectivity,"Munich, Germany",COMP0286,230.12,246515,31,0.55,1.2,SUPP095
SUPP003,Vishay Intertechnology,"Taipei, Taiwan",COMP0202,539.92,394509,17,0.97,4.5,SUPP037
SUPP016,Molex,"Shanghai, China",COMP0081,282.57,363738,50,0.88,3.0,SUPP010
SUPP008,Texas Instruments,Singapore,COMP0480,54.97,84326,13,0.76,3.4,SUPP001
SUPP025,Maxim Integrated,"Milan, Italy",COMP0443,188.34,493046,17,0.92,3.1,SUPP068
SUPP054,Dinkle,"Shanghai, China",COMP0332,668.69,131175,23,0.73,3.9,SUPP069
SUPP008,Texas Instruments,Singapore,COMP0060,55.28,60673,17,0.86,3.5,SUPP024
SUPP090,Vishay Dale,"Seoul, South Korea",COMP0420,248.69,106469,25,0.84,4.2,SUPP007
SUPP096,Navitas Semiconductor,"Penang, Malaysia",COMP0255,610.08,464479,10,0.8,3.2,SUPP024
SUPP001,Murata Electronics,"Taipei, Taiwan",COMP0199,617.71,202781,30,0.59,2.1,SUPP034
SUPP022,Bourns,Singapore,COMP0450,39.14,26463,13,0.55,3.6,SUPP038
SUPP084,Nordic Semiconductor,"Tokyo, Japan",COMP0135,435.13,97171,27,0.9,2.0,SUPP015
SUPP051,Phoenix Contact,"Bangalore, India",COMP0436,655.32,485041,34,0.58,1.2,SUPP092
SUPP099,Cohu Inc,"Bangalore, India",COMP0444,49.79,53134,10,0.57,3.7,SUPP068
SUPP028,Semtech,"Penang, Malaysia",COMP0304,674.39,405635,7,0.94,5.0,SUPP095
SUPP053,WAGO,"Shanghai, China",COMP0075,708.67,373544,37,0.73,3.4,SUPP099
SUPP047,Sensata Technologies,"Shanghai, China",COMP0375,113.37,401950,45,0.6,4.6,SUPP008
SUPP093,Halo Electronics,"Taipei, Taiwan",COMP0142,670.9,5788,15,0.78,3.2,SUPP089
SUPP045,Osram Opto,"Eindhoven, Netherlands",COMP0397,520.96,482585,12,0.83,4.8,SUPP053
SUPP028,Semtech,"Penang, Malaysia",COMP0173,716.98,120610,15,0.82,1.7,SUPP082
SUPP014,Renesas Electronics,"Stockholm, Sweden",COMP0197,413.23,36261,16,0.53,3.5,SUPP079
SUPP055,Cinch Connectivity,"Munich, Germany",COMP0062,606.7,410826,24,0.52,1.9,SUPP042
SUPP037,Abracon,"Chennai, India",COMP0335,58.22,425626,51,0.99,4.0,SUPP027
SUPP082,Silicon Labs,"Hsinchu, Taiwan",COMP0207,12.26,103194,14,0.84,1.1,SUPP045
SUPP054,Dinkle,"Shanghai, China",COMP0028,319.09,412441,12,0.74,4.3,SUPP050
SUPP100,Entegris,"Tokyo, Japan",COMP0009,452.87,9984,37,0.9,4.9,SUPP083
SUPP017,TE Connectivity,"Austin, USA",COMP0017,400.64,398637,10,0.93,4.6,SUPP075
SUPP029,KEMET Electronics,"Penang, Malaysia",COMP0489,597.67,453964,41,0.65,1.1,SUPP084
SUPP005,Samsung Electro-Mechanics,"Hsinchu, Taiwan",COMP0116,371.45,37326,16,0.94,4.1,SUPP100
SUPP076,Sprague Goodman,"Shanghai, China",COMP0222,374.54,394785,50,0.56,1.9,SUPP094
SUPP094,Transphorm,"Gyeonggi, South Korea",COMP0430,88.77,198797,45,0.7,2.6,SUPP040
SUPP098,Vicor Corporation,"Tokyo, Japan",COMP0500,656.21,92254,14,1.0,2.7,SUPP084
SUPP009,STMicroelectronics,"Osaka, Japan",COMP0043,459.37,69195,49,0.87,4.8,SUPP091
SUPP040,Winbond Electronics,"Stockholm, Sweden",COMP0045,84.28,351657,39,0.83,4.2,SUPP089
SUPP093,Halo Electronics,"Taipei, Taiwan",COMP0204,204.56,323521,18,0.8,2.2,SUPP033
SUPP007,Panasonic Electronic Components,"Milan, Italy",COMP0258,224.14,60191,33,0.61,4.6,SUPP100
SUPP099,Cohu Inc,"Bangalore, India",COMP0445,498.2,318718,39,0.51,2.8,SUPP089
SUPP033,Bel Fuse,"Munich, Germany",COMP0319,492.92,25746,11,0.7,3.5,SUPP007
SUPP080,Bourns Inductors,"Shanghai, China",COMP0447,640.2,123061,11,0.77,1.8,SUPP011
SUPP100,Entegris,"Tokyo, Japan",COMP0131,609.7,438788,38,0.75,3.9,SUPP052
SUPP037,Abracon,"Chennai, India",COMP0095,735.72,426934,34,0.59,4.4,SUPP092
SUPP079,Sumida,"Stockholm, Sweden",COMP0233,535.48,88576,11,0.62,3.5,SUPP031
SUPP063,International Rectifier,"Gyeonggi, South Korea",COMP0325,515.13,478812,51,0.87,4.2,SUPP032
SUPP036,Pulse Electronics,"Hsinchu, Taiwan",COMP0097,495.39,359611,14,0.85,4.5,SUPP007
SUPP030,Nichicon,"Zurich, Switzerland",COMP0480,97.4,130491,48,0.77,1.6,SUPP036
SUPP084,Nordic Semiconductor,"Tokyo, Japan",COMP0486,181.93,456403,41,0.91,1.6,SUPP037
SUPP005,Samsung Electro-Mechanics,"Hsinchu, Taiwan",COMP0296,318.53,163262,28,0.86,2.6,SUPP080
SUPP011,Infineon Technologies,"Hsinchu, Taiwan",COMP0430,715.19,131284,26,0.78,2.3,SUPP022
SUPP048,Honeywell Sensing,"Eindhoven, Netherlands",COMP0381,340.0,402769,42,0.53,3.7,SUPP047
SUPP062,Fairchild Semiconductor,"Taipei, Taiwan",COMP0470,107.21,419027,2,0.99,2.4,SUPP032
SUPP090,Vishay Dale,"Seoul, South Korea",COMP0498,27.05,9846,26,0.75,1.7,SUPP023
SUPP037,Abracon,"Chennai, India",COMP0004,726.22,397645,24,0.97,1.4,SUPP089
SUPP022,Bourns,Singapore,COMP0002,517.69,170532,34,0.72,4.6,SUPP001
SUPP019,Hirose Electric,"Milan, Italy",COMP0040,444.52,278231,51,0.61,4.9,SUPP046
SUPP016,Molex,"Shanghai, China",COMP0300,474.39,291630,34,0.6,1.9,SUPP087
SUPP032,Würth Elektronik,"Hsinchu, Taiwan",COMP0448,348.61,158349,39,0.97,3.5,SUPP057
SUPP075,Illinois Capacitor,"London, UK",COMP0069,564.32,269157,10,0.56,1.8,SUPP003
SUPP068,Mini-Circuits,"Munich, Germany",COMP0483,713.44,447164,22,0.94,3.1,SUPP035
SUPP068,Mini-Circuits,"Munich, Germany",COMP0406,16.13,141496,33,0.63,1.6,SUPP083
SUPP084,Nordic Semiconductor,"Tokyo, Japan",COMP0272,68.8,160017,3,0.92,3.8,SUPP072
SUPP017,TE Connectivity,"Austin, USA",COMP0444,480.82,147648,52,0.8,4.5,SUPP097
SUPP044,Lumileds,"Austin, USA",COMP0303,374.66,145581,29,0.85,3.9,SUPP013
SUPP011,Infineon Technologies,"Hsinchu, Taiwan",COMP0422,561.96,76799,22,0.87,5.0,SUPP051
SUPP070,Susumu,"Munich, Germany",COMP0082,305.22,150534,48,0.93,4.1,SUPP095
SUPP083,Dialog Semiconductor,"Stockholm, Sweden",COMP0010,14.28,453872,51,0.61,3.8,SUPP013
SUPP081,Eaton Electronics,"Bangalore, India",COMP0057,723.38,169728,34,0.57,2.2,SUPP099
SUPP036,Pulse Electronics,"Hsinchu, Taiwan",COMP0197,416.81,57635,20,0.6,3.0,SUPP075
SUPP010,NXP Semiconductors,"Hsinchu, Taiwan",COMP0226,607.24,157155,45,0.7,4.6,SUPP082
SUPP028,Semtech,"Penang, Malaysia",COMP0245,110.84,63934,23,0.93,4.9,SUPP067
SUPP027,Diodes Incorporated,"Shenzhen, China",COMP0250,276.93,336630,34,0.89,4.7,SUPP042
SUPP052,Weidmuller,"Hsinchu, Taiwan",COMP0301,597.83,487799,8,0.98,2.6,SUPP064
SUPP033,Bel Fuse,"Munich, Germany",COMP0124,213.11,142539,46,0.91,3.1,SUPP069
SUPP034,CUI Inc,"Gyeonggi, South Korea",COMP0335,539.67,307060,35,0.96,2.2,SUPP021
