Supplier ID,Component ID,Past Risk Events,Failure Frequency (occurrences/year),Downtime Duration,Recovery Time,Risk Outcome (Success/Failure)
SUPP046,COMP0374,Natural disaster impact on fab,4.17,234 days,89 days,Success
SUPP012,COMP0025,Geopolitical trade restriction imposed,0.44,95 days,64 days,Success
SUPP004,COMP0088,Export control regulation change,6.24,255 days,175 days,Success
SUPP004,COMP0361,Geopolitical trade restriction imposed,7.46,301 days,86 days,Success
SUPP054,COMP0460,Logistics disruption — carrier strike,10.6,302 days,182 days,Success
SUPP018,COMP0491,Raw material scarcity — price surge,5.77,101 days,30 days,Success
SUPP070,COMP0365,Counterfeit component detection,10.17,218 days,196 days,Success
SUPP052,COMP0014,Quality defect — batch recall issued,9.18,229 days,135 days,Success
SUPP015,COMP0451,Pandemic-related facility shutdown,1.73,221 days,200 days,Success
SUPP042,COMP0169,Supply shortage due to factory fire,3.31,278 days,73 days,Success
SUPP013,COMP0031,Pandemic-related facility shutdown,8.19,192 days,111 days,Success
SUPP030,COMP0067,Wafer fab yield drop below threshold,3.45,43 days,15 days,Success
SUPP038,COMP0133,Component discontinuation announcement,6.17,170 days,163 days,Failure
SUPP061,COMP0073,Component discontinuation announcement,3.56,229 days,136 days,Success
SUPP078,COMP0220,Supply shortage due to factory fire,9.03,342 days,12 days,Failure
SUPP010,COMP0055,Quality defect — batch recall issued,5.4,104 days,81 days,Success
SUPP048,COMP0453,Counterfeit component detection,11.68,191 days,137 days,Success
SUPP096,COMP0125,Export control regulation change,7.82,318 days,252 days,Success
SUPP073,COMP0224,Delivery delay due to port congestion,7.0,45 days,34 days,Success
SUPP089,COMP0108,Component discontinuation announcement,1.02,122 days,42 days,Success
SUPP010,COMP0303,Natural disaster impact on fab,7.4,89 days,81 days,Failure
SUPP052,COMP0290,Geopolitical trade restriction imposed,10.73,73 days,5 days,Success
SUPP001,COMP0377,Sudden capacity reduction by supplier,10.97,205 days,70 days,Success
SUPP083,COMP0374,Pandemic-related facility shutdown,6.86,13 days,13 days,Failure
SUPP040,COMP0298,Pandemic-related facility shutdown,3.59,261 days,211 days,Success
SUPP089,COMP0216,Geopolitical trade restriction imposed,6.19,332 days,27 days,Success
SUPP081,COMP0356,Supply shortage due to factory fire,8.0,220 days,36 days,Success
SUPP063,COMP0472,Export control regulation change,9.95,7 days,2 days,Failure
SUPP079,COMP0470,Quality defect — batch recall issued,5.34,71 days,66 days,Failure
SUPP072,COMP0297,Export control regulation change,1.63,120 days,41 days,Success
SUPP094,COMP0310,Raw material scarcity — price surge,4.56,60 days,32 days,Success
SUPP098,COMP0233,Quality defect — batch recall issued,4.29,160 days,101 days,Success
SUPP059,COMP0034,Delivery delay due to port congestion,4.56,301 days,49 days,Success
SUPP019,COMP0262,Wafer fab yield drop below threshold,3.94,245 days,131 days,Success
