Risk ID,Supplier ID,Risk Type (Shortage / Delay / Shutdown),Severity Level (High/Medium/Low),Probability of Occurrence,Date of Risk Event,Affected Component ID,Expected Recovery Time
RISK00001,SUPP090,Delay,Medium,0.78,2024-08-22,COMP0179,29 days
RISK00002,SUPP092,Shutdown,High,0.81,2024-08-08,COMP0192,15 days
RISK00003,SUPP020,Delay,Low,0.46,2024-01-13,COMP0459,164 days
RISK00004,SUPP047,Shortage,Low,0.35,2023-07-15,COMP0473,28 days
RISK00005,SUPP031,Delay,Low,0.9,2022-03-09,COMP0300,35 days
RISK00006,SUPP010,Shutdown,High,0.4,2023-10-17,COMP0117,141 days
RISK00007,SUPP038,Shortage,Medium,0.71,2021-03-20,COMP0243,149 days
RISK00008,SUPP057,Shutdown,Low,0.47,2020-07-22,COMP0071,37 days
RISK00009,SUPP031,Shutdown,Medium,0.64,2023-08-28,COMP0179,62 days
RISK00010,SUPP010,Shutdown,High,0.38,2025-09-18,COMP0118,19 days
RISK00011,SUPP015,Delay,Low,0.3,2025-10-01,COMP0491,92 days
RISK00012,SUPP082,Shortage,Medium,0.63,2020-08-28,COMP0001,44 days
RISK00013,SUPP079,Shortage,Medium,0.88,2022-06-02,COMP0233,17 days
RISK00014,SUPP046,Shortage,Medium,0.04,2023-09-28,COMP0398,78 days
RISK00015,SUPP016,Shortage,Medium,0.38,2020-08-26,COMP0044,157 days
RISK00016,SUPP044,Delay,Medium,0.93,2021-03-10,COMP0115,84 days
RISK00017,SUPP042,Shutdown,High,0.69,2024-10-22,COMP0025,53 days
RISK00018,SUPP021,Shutdown,Medium,0.28,2024-06-30,COMP0139,13 days
RISK00019,SUPP007,Shortage,Low,0.62,2023-03-04,COMP0288,67 days
RISK00020,SUPP055,Shutdown,Low,0.36,2025-11-02,COMP0361,28 days
RISK00021,SUPP040,Delay,Low,0.67,2021-07-08,COMP0299,89 days
RISK00022,SUPP046,Shortage,High,0.83,2024-10-22,COMP0332,20 days
RISK00023,SUPP084,Delay,Medium,0.9,2022-11-03,COMP0160,59 days
RISK00024,SUPP006,Shutdown,High,0.3,2023-02-10,COMP0154,145 days
RISK00025,SUPP010,Shortage,Medium,0.37,2024-02-14,COMP0253,21 days
RISK00026,SUPP069,Delay,High,0.29,2020-02-01,COMP0305,79 days
RISK00027,SUPP029,Shortage,Low,0.24,2021-01-20,COMP0358,106 days
RISK00028,SUPP084,Shortage,High,0.16,2025-11-24,COMP0152,146 days
RISK00029,SUPP054,Delay,Medium,0.54,2021-01-08,COMP0248,124 days
RISK00030,SUPP032,Delay,Medium,0.72,2024-11-16,COMP0232,134 days
RISK00031,SUPP045,Shortage,High,0.89,2021-11-26,COMP0267,139 days
RISK00032,SUPP100,Shutdown,Medium,0.07,2023-06-09,COMP0321,10 days
RISK00033,SUPP052,Shutdown,Low,0.93,2023-09-09,COMP0174,11 days
RISK00034,SUPP067,Shortage,Medium,0.87,2020-04-26,COMP0358,80 days
RISK00035,SUPP088,Shortage,High,0.6,2021-04-17,COMP0165,27 days
RISK00036,SUPP092,Shortage,Medium,0.3,2020-07-15,COMP0471,174 days
RISK00037,SUPP008,Shortage,Medium,0.45,2021-09-07,COMP0381,46 days
RISK00038,SUPP008,Delay,Medium,0.11,2025-06-26,COMP0186,177 days
RISK00039,SUPP042,Delay,Medium,0.1,2025-10-02,COMP0399,125 days
RISK00040,SUPP095,Delay,Low,0.07,2022-04-20,COMP0159,49 days
RISK00041,SUPP077,Delay,Medium,0.68,2025-01-08,COMP0327,145 days
RISK00042,SUPP022,Delay,High,0.24,2021-10-12,COMP0357,113 days
RISK00043,SUPP068,Shortage,High,0.91,2021-05-30,COMP0486,97 days
RISK00044,SUPP077,Delay,Low,0.75,2025-11-22,COMP0354,173 days
RISK00045,SUPP005,Delay,High,0.25,2023-05-01,COMP0358,99 days
RISK00046,SUPP011,Shortage,Medium,0.18,2025-04-09,COMP0052,105 days
RISK00047,SUPP051,Shutdown,High,0.62,2021-08-09,COMP0038,140 days
RISK00048,SUPP065,Delay,Medium,0.7,2021-01-25,COMP0032,159 days
RISK00049,SUPP024,Shutdown,High,0.46,2023-09-22,COMP0333,133 days
RISK00050,SUPP008,Shortage,Low,0.85,2021-01-06,COMP0018,107 days
RISK00051,SUPP049,Delay,Low,0.14,2022-04-23,COMP0191,101 days
RISK00052,SUPP083,Delay,Medium,0.71,2024-08-14,COMP0130,66 days
RISK00053,SUPP057,Shortage,High,0.06,2022-06-04,COMP0500,103 days
RISK00054,SUPP042,Delay,Low,0.44,2024-09-02,COMP0024,35 days
RISK00055,SUPP055,Shutdown,High,0.83,2025-08-16,COMP0176,134 days
RISK00056,SUPP015,Delay,Low,0.52,2023-02-22,COMP0141,124 days
RISK00057,SUPP024,Shortage,Medium,0.46,2024-08-10,COMP0240,94 days
RISK00058,SUPP096,Shortage,Low,0.9,2022-06-03,COMP0009,64 days
RISK00059,SUPP040,Delay,Medium,0.65,2023-10-11,COMP0069,69 days
