Component ID,Component Name,Function Type,Voltage Rating (V),Current Rating (A),Power Rating (W),Resistance / Capacitance / Inductance,Frequency Range,Signal Type,Tolerance (%),Accuracy (%),Efficiency (%),Operating Speed,Operating Temperature Range,Storage Temperature,Thermal Resistance (°C/W),Package Type,Dimensions (L x W x H mm),Weight (g),Mounting Type,Material Type,Conductivity (S/m),Durability,RoHS Compliance,ISO Certification,Industry Standards
COMP0476,Crystal-2713,Frequency Reference / Timing,528.1,0.69,244.243,N/A,1 Hz – 100 MHz,Power,0.5,97.97,86.1,48 MHz,0°C to 125°C,-40°C to 150°C,38.7,SOIC-28,1.39 x 12.26 x 8.28 mm,99.8017,SMT,SiC,126205 S/m,Medium,Yes,ISO 14001:2015,MIL-STD-810
COMP0438,Inductor-2229,Energy Storage / EMI Filtering,595.5,42.625,236.044,967.1 µH,10 Hz – 1 MHz,Power,0.5,98.58,84.6,200 MHz,-40°C to 125°C,-40°C to 125°C,114.5,SMD 1206,21.62 x 21.34 x 4.39 mm,20.5998,SMT,Metal Oxide,7219503 S/m,High,Yes,IATF 16949,MIL-STD-810
COMP0340,MOSFET-3496,Switching / Power Control,456.7,45.007,320.266,N/A,1000 Hz – 1 MHz,Mixed-Signal,5.0,93.52,76.7,16 MHz,-40°C to 105°C,-40°C to 125°C,31.2,TO-220,26.29 x 21.89 x 11.61 mm,99.9666,SMT,Ceramic,9665900 S/m,Medium,No,IATF 16949,AEC-Q200
COMP0051,IC-8517,Signal Processing / Logic,93.9,13.07,235.506,N/A,1000 Hz – 10 MHz,RF,5.0,96.82,83.7,1 MHz,-25°C to 150°C,-40°C to 105°C,118.5,SOT-363,31.48 x 16.01 x 1.75 mm,41.0776,SMT,Carbon Composition,3496778 S/m,High,No,None,AEC-Q200
COMP0294,Capacitor-5681,Energy Storage / Filtering,559.4,8.347,386.799,2348.4 µF,10 Hz – 1 MHz,Digital,2.0,91.93,90.0,72 MHz,0°C to 85°C,-55°C to 150°C,69.5,QFP-64,24.87 x 14.8 x 11.4 mm,36.0886,SMT,SiC,719954 S/m,Medium,Yes,IATF 16949,AEC-Q100
COMP0305,IC-2020,Signal Processing / Logic,45.5,17.303,432.329,N/A,1 Hz – 100 MHz,Digital,2.0,97.86,94.8,32 MHz,-40°C to 150°C,-40°C to 85°C,102.1,QFP-32,42.55 x 3.71 x 17.33 mm,3.3168,SMT,Ceramic,2240214 S/m,High,Yes,ISO 9001:2015,AEC-Q100
COMP0145,Transistor-4566,Switching / Amplification,111.5,9.941,491.546,N/A,1000 Hz – 10 MHz,Analog,1.0,99.92,87.5,8 MHz,-55°C to 175°C,-40°C to 150°C,15.0,TSSOP-20,19.53 x 24.63 x 16.48 mm,82.552,Press-fit,Carbon Composition,186463 S/m,Medium,No,None,IEC 61000-4
COMP0176,LED-5956,Visual Indication / Illumination,588.8,24.061,359.095,N/A,1 Hz – 1000 MHz,RF,5.0,99.38,81.0,1000 MHz,-40°C to 125°C,-55°C to 105°C,146.7,BGA-144,33.94 x 3.81 x 16.04 mm,76.1678,SMT,Electrolytic Aluminum,4324052 S/m,High,Yes,ISO 45001:2018,UL 94V-0
COMP0409,Transistor-1231,Switching / Amplification,233.3,28.296,494.275,N/A,100 Hz – 100 MHz,Power,2.0,91.03,94.5,1000 MHz,-25°C to 105°C,-40°C to 150°C,92.9,SMD 1210,38.53 x 14.82 x 0.24 mm,11.564,SMT,Metal Oxide,6778612 S/m,High,No,IATF 16949,JEDEC JESD22
COMP0321,MOSFET-9751,Switching / Power Control,485.4,36.508,455.014,N/A,1 Hz – 1000 MHz,Power,1.0,94.06,86.0,200 MHz,0°C to 70°C,-65°C to 125°C,101.2,QFP-32,10.42 x 10.6 x 7.63 mm,96.8227,SMT,Metal Oxide,8292944 S/m,Low,Yes,IATF 16949,AEC-Q100
